The Lince Azores Great Hotel,"Avenida Dom JoÃ£o III 29, Ponta Delgada, SÃ£o Miguel 9500-310 Portugal"
Vila GalÃ© Collection PalÃ¡cio dos Arcos,"Largo Conde das AlcÃ¡Ã§ovas, 3, Paco de Arcos, Oeiras 2770-031 Portugal"
Casa da Pousada,"Travessa da Fonte da Cal 33 Roriz - Barcelos, Barcelos 4750-659 Portugal"
Sintra 1012 Boutique Guest House,"Rua Gil Vicente 10-12, Sintra 2710-568 Portugal"
Cerro da Marina Hotel,"Rua do Cerro Grande, Albufeira 8200-108 Portugal"
Herdade Dos Grous,Albernoa 7800-601 Portugal
Montebelo PalÃ¡cio dos Melos Viseu Historic Hotel,"Rua Chao do Mestre No 4, Viseu 3500-103 Portugal"
Chill In Ericeira Surfhouse,"Rua Bairro Joao David Soares, Ericeira, Mafra 2655-293 Portugal"
Estalagem Muchaxo Hotel,"Avenida Nossa Senhora do Cabo 2477 Praia do Guincho, Cascais 2750-642 Portugal"
Villa Prime Hotel,"Rua Barao da Trovisqueira 338, Vila Nova de Famalicao 4760-126 Portugal"
Rossio Plaza Hotel,"Rua Aurea, 266, Lisbon 1100-581 Portugal"
Hapimag Resort Albufeira,"Rua da Torre Velha Praia do Castelo, Apartado 2341, Albufeira 8200-385 Portugal"
Porto Persona Guest House,"Rua Quinze de Novembro, 89, Porto 4100-421 Portugal"
Casa do Nato - Turismo Rural,"Rua do Moreno 130, Carreco 4900-278 Portugal"
Flor Do Douro,"Rua do Mercado 7, Miranda do Douro 5210-210 Portugal"
InPatio Guest House,"Patio Sao Salvador 22, Porto 4050-567 Portugal"
Casa dos Guindais,"Rua de Arnaldo Gama 72, Porto 4000-099 Portugal"
Hotel Sintra Jardim,"Travessa dos Avelares 12 Sao Pedro de Sintra, Sintra 2710-506 Portugal"
Sail Hostel,"Bairro dos Ratolas 10, Ferrel, Peniche 2520-102 Portugal"
Gaspar House,"Praca Francisco Sa Carneiro 5 5th Floor, Lisbon 1000-159 Portugal"
Herdade da ChaminÃ©,"IP2 - Km 205.4, Monforte 7450-160 Portugal"
Estalagem Do Mar,"Avenida Marcos Marques Rosa, 25, Sao Vicente, Madeira 9240-210 Portugal"
"Heritage Avenida Liberdade, a Lisbon Heritage Collection","Avenida Da Liberdade, 28, Lisbon 1250-145 Portugal"
Quinta De Santo Antonio - Country House & Villas,"Rua de Santo AntÃ³nio, 81, Torrao 4575-328 Portugal"
Villa C Boutique Hotel,"Avenida Mouzinho de Albuquerque s/n Estrada Nacional 13, Vila do Conde 4480-151 Portugal"
Casa Manuel Espregueira e Oliveira,"Rua Manuel Espregueira 190, Viana do Castelo 4900-318 Portugal"
Hotel Zodiaco,"Estrada Nacional 527 - Fonte Nova Estrada da Fonte Santa, Quarteira 8125-618 Portugal"
Natura  Maris Dunas Residence,"Avenida da Praia, Almograve, Odemira 7630-017 Portugal"
Wot Lisbon Patio,"Rua Tomas Ribeiro 8, Lisbon 1050-229 Portugal"
Coimbra Vintage Lofts,"Rua Simao de Evora 11, Coimbra 3000-386 Portugal"
Hotel Quinta do Campo,"Rua Carlos O'Neill 20 Valado dos Frades, Nazare 2451-909 Portugal"
Casa da Pendoa,"Rua da Pendoa 17-19, Sintra 2710-610 Portugal"
Hotel FeelViana,"Rua BrÃ¡s de Abreu Soares 222, Viana do Castelo 4935-159 Portugal"
5Âª Vigia Hostel Boutique,"Rua da Boavista 5 Junto Ao Parque Verde, Porto de Mos 2480-330 Portugal"
Alquimia Guest House,"Rua Engenheiro Jose Ulrich 13, Cascais 2750-629 Portugal"
Hostel Gaia Porto,"Rua CÃ¢ndido dos Reis N 374 376, Vila Nova de Gaia 4400-070 Portugal"
Charm Apartments Porto,"Rua Flores 36 Downtown Historical Center, Porto 4050-262 Portugal"
